AH-H-Abyss	AH-H-Cabog	AH-H-Mira	AH-H-Msrca	AH-H-Sga	AH-H-Soap	AH-H-Spades	AH-H-Velvet	BC-H-Abyss	BC-M-Abyss	BC-H-Cabog	BC-M-Cabog	BC-H-Mira	BC-M-Mira	BC-H-Msrca	BC-M-Msrca	BC-H-Sga	BC-M-Sga	BC-H-Soap	BC-M-Soap	BC-H-Spades	BC-M-Spades	BC-H-Velvet	BC-M-Velvet	BC-H-Abyss	BC-M-Abyss	BC-H-Cabog	BC-M-Cabog	BC-H-Mira	BC-M-Mira	BC-H-Msrca	BC-M-Msrca	BC-H-Sga	BC-M-Sga	BC-H-Soap	BC-M-Soap	BC-H-Spades	BC-M-Spades	BC-H-Velvet	BC-M-Velvet	BF-H-Abyss	BF-H-Cabog	BF-H-Mira	BF-H-Msrca	BF-H-Sga	BF-H-Soap	BF-H-Spades	BF-H-Velvet	MA-H-Abyss	MA-M-Abyss	MA-H-Cabog	MA-M-Cabog	MA-H-Mira	MA-M-Mira	MA-H-Msrca	MA-M-Msrca	MA-H-Sga	MA-M-Sga	MA-H-Soap	MA-M-Soap	MA-H-Spades	MA-M-Spades	MA-H-Velvet	MA-M-Velvet	MA-H-Abyss	MA-M-Abyss	MA-H-Cabog	MA-M-Cabog	MA-H-Mira	MA-M-Mira	MA-H-Msrca	MA-M-Msrca	MA-H-Sga	MA-M-Sga	MA-H-Soap	MA-M-Soap	MA-H-Spades	MA-M-Spades	MA-H-Velvet	MA-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet	VC-H-Abyss	VC-M-Abyss	VC-H-Cabog	VC-M-Cabog	VC-H-Mira	VC-M-Mira	VC-H-Msrca	VC-M-Msrca	VC-H-Sga	VC-M-Sga	VC-H-Soap	VC-M-Soap	VC-H-Spades	VC-M-Spades	VC-H-Velvet	VC-M-Velvet	VC-H-Abyss	VC-M-Abyss	VC-H-Cabog	VC-M-Cabog	VC-H-Mira	VC-M-Mira	VC-H-Msrca	VC-M-Msrca	VC-H-Sga	VC-M-Sga	VC-H-Soap	VC-M-Soap	VC-H-Spades	VC-M-Spades	VC-H-Velvet	VC-M-Velvet	XA-H-Abyss	XA-H-Cabog	XA-H-Mira	XA-H-Msrca	XA-H-Sga	XA-H-Soap	XA-H-Spades	XA-H-Velvet
29	2686,51	3837,64	3566,6	3634,39	4131,45	3967,49	3611,13	3648,52	3383,28	6,59	3550,71	4,95	3381,23	4,88	2881,27	9,34	3977,69	0,87	3904,84	9,2	2353,02	13,03	3487,03	6,12	NA	7,24	NA	1,03	NA	4,75	NA	5,28	NA	0,96	NA	2,41	NA	9,13	NA	9,41	661,17	659,26	669,71	684,22	641,35	660,86	666,63	660,05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3,93	1,59	8,55	4,15	5,69	4,47	49,65	2,92	1,1	1,45	1,71	2,08	2,14	4,68	3,05	2,48	7,06	7,91	2,69	0	9,3	16,02	91,96	376,65	2,79	7,07	33,63	4,5	7,01	13,14	13,39	8,77	44,77	37,11	16,25	980,39	42,89	56,62	126,01	1628,9	0	28,53	13,12	27,93	24,7	18,07	5,85	4,83	97,25	39,7	12,29	NA	144,03	156,31	112,14	120,33	3,11	62,52	69,39	70,79	37,61	30,34	18,38	27,94	5,72	1,78	16,59	5,92	13,12	33,83	71,78	5,18	1,4	0,86	24,66	1,11	4,33	7,03	9,58	8,45	10,38	8,33	43,67	11,54	42,86	47,91	73,26	16,13	0,93	1,41	25,59	0,76	15,11	16,02	10,67	28,86	58,56	37,22	125,92	0	143,21	110,25	281,3	539,94	17,72	43,69	124,58	93,38	47,08	52,73	26,5	35,99	15,98	0	375,23	137,17	186,02	48,6	36,46	46,6	23,9	11,99	18,97	33,41	18,8	5,39	9,22	0	460,36	759,49	1752,68	759,49	953,25	759,49	759,49	582,81	850,67	852,32	865,27	889,85	817,45	859,46	862,97	867,67	NA	NA	2074,69	NA	2580,65	NA	NA	2739,73	4,62	3,21	11,82	6,51	5,59	5,71	67,67	4,59	3,15	4,32	10,7	9,14	5,26	4,02	3,86	3,56	13,7	11,82	37,52	24,06	33,73	18,06	71,8	19,7	10,05	4,29	23,62	13,32	13,84	8,04	6,89	6,04	4032,85	4068,2	4055,15	4176,56	4097,65	4010,62	4049,19	3994,56
30	112,68	141,51	156,57	140,76	166,19	140,82	134,68	120,1	209,06	8,11	310,54	2,39	117,36	2,2	205,49	3,63	118,45	2	142,17	2,98	179,25	2,92	118,84	3,17	NA	5,31	NA	2,59	NA	2,64	NA	28,32	NA	2,89	NA	2,89	NA	5,28	NA	1,98	37,13	63,8	31,48	29,5	26,27	28,93	32,51	31,13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2,19	1,41	5,83	0,74	0,87	0,75	6,53	1,66	1,5	0,42	1,25	1,31	1,68	1,07	0,92	0,7	2,65	2,64	0	0	3,72	2,67	3,5	94,16	0	2,65	67,26	0	2,63	2,63	2,68	2,63	1,91	1,9	5,42	326,8	0	1,95	3,85	70,82	0	3,8	0	0	3,8	1,9	1,95	1,93	3,17	0	20,49	NA	3,96	11,62	13,41	9,38	0	8,07	0	3,37	1,02	5,06	0	0	0,48	0,41	1,09	0,49	0,98	4,73	1,16	0,47	0,17	0,63	7,73	0,95	0,69	0,54	0,54	0,83	0,66	0,55	4,62	0,45	5,16	4,61	0,64	0,95	0,47	0,43	2,4	0,54	0,86	0,96	0,55	0,54	39,67	1,86	8,99	152,21	59,98	7,47	39,67	27,93	1,48	31,85	1,38	16,89	8,15	6,73	1,89	4	15,98	15,52	125,08	0	3,58	2,86	19,89	24,85	0	14,99	0	3,04	15,67	16,18	15,36	16,56	0	0	445,12	0	45,39	0	0	0	61,1	72,39	59,52	59,29	39,18	54,12	52,35	59,29	NA	NA	414,94	NA	0	NA	NA	0	4,35	1,93	6,76	3,1	3,12	2,84	6,48	2,45	2,04	2,07	5,09	2,59	2,1	2,56	2,31	2,02	9,59	4,67	9,09	5,35	5,9	7,63	8,25	5,29	4,62	4,79	7,06	9,77	5,26	5,26	12,11	5,15	178,54	171,49	149,8	194,41	149	143,12	141	181,03
31	43	181	92	60	666	90	73	73	59	330	53	120	90	110	45	184	31	97	30	145	55	137	35	155	NA	7	NA	5	NA	5	NA	59	NA	5	NA	5	NA	7	NA	4	1528	2631	1266	1173	1043	1154	1315	1252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82	63	287	34	42	37	326	81	71	16	51	53	80	52	40	32	3	3	0	0	4	3	4	1	0	3	72	0	3	3	3	3	2	2	2	2	0	2	4	4	0	4	0	0	4	2	2	2	3	0	5	NA	3	11	11	6	0	8	0	3	1	5	0	0	15	11	30	14	26	141	33	14	5	15	221	28	21	12	15	21	6	5	38	4	47	43	6	9	4	4	17	4	7	8	5	5	41	2	1	1	49	8	10	3	1	35	1	17	9	6	2	4	5	5	2	0	1	0	5	8	0	5	0	0	5	5	5	5	0	0	32	0	1	0	0	0	1531	1780	1480	1473	950	1332	1281	1478	NA	NA	1	NA	0	NA	NA	0	102	54	192	85	89	79	186	68	58	58	145	70	58	73	64	54	87	47	86	52	59	74	82	53	46	48	63	97	52	52	117	50	692	407	379	468	1079	455	315	542
32	1	5	3	1	28	2	2	1	1	87	0	4	0	4	1	4	0	6	0	8	0	14	0	7	NA	4	NA	0	NA	0	NA	0	NA	1	NA	1	NA	4	NA	0	73	90	87	98	74	85	82	81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	7	5	2	2	1	4	2	4	5	12	13	4	2	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	5	9	4	1	0	5	22	2	1	5	2	5	0	0	3	0	1	0	0	0	0	0	5	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	63	97	76	80	54	76	83	70	NA	NA	0	NA	0	NA	NA	0	25	2	2	5	2	4	3	3	1	2	3	5	3	2	3	4	11	0	1	2	2	5	4	2	0	0	9	2	2	3	6	2	15	8	9	6	26	13	8	9
33	91	0	209	0	0	0	63	0	0	5511	0	0	256	191	0	0	0	0	0	0	919	221	0	0	x	5511	0	0	256	191	0	0	0	0	0	0	919	221	0	0	239	0	131	0	0	0	439	0	620	219	36	0	106	165	0	0	0	0	0	0	0	184	0	0	620	219	36	0	106	165	0	0	0	0	0	0	0	184	0	0	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0	0	0	46	0	0	0	57	0	0	0	46	0	0	0	57	0	0	0	46	0	0	0	57	0	4125	0	0	0	198	70	0	0	0	0	0	0	0	209	0	0	4125	0	0	0	198	70	0	0	0	0	0	0	0	209	0	0	50	0	859	0	0	0	236	0
34	1,83	0	4,21	0	0	0	1,28	0	0	102,42	0	0	4,54	3,53	0	0	0	0	0	0	16,04	4,1	0	0	0	102,42	0	0	4,54	3,53	0	0	0	0	0	0	16,04	4,1	0	0	3,4	0	2,45	0	0	0	8,25	0	12,1	4,28	0,7	0	2,06	3,04	0	0	0	0	0	0	0	3,57	0	0	12,1	4,28	0,7	0	2,06	3,04	0	0	0	0	0	0	0	3,57	0	0	0,18	0	0	5,31	5,36	2,58	0	0	0	0	0	0	14,93	10,16	0	0	0,18	0	0	5,31	5,36	2,58	0	0	0	0	0	0	14,93	10,16	0	0	0,18	0	0	5,31	5,36	2,58	0	0	0	0	0	0	14,93	10,16	0	0	0,18	0	0	5,31	5,36	2,58	0	0	0	0	0	0	14,93	10,16	0	0	0,18	0	0	5,31	5,36	2,58	0	0	0	0	0	0	14,93	10,16	0	0	0,18	0	0	5,31	5,36	2,58	0	0	0	0	0	0	14,93	10,16	0	0	0,18	0	0	5,31	5,36	2,58	0	0	0	0	0	0	14,93	10,16	0	0	0	0	1,61	0	0	0	2	0	0	0	1,61	0	0	0	2	0	0	0	1,61	0	0	0	2	0	100,94	0	0	0	5	1,74	0	0	0	0	0	0	0	5,18	0	0	100,94	0	0	0	5	1,74	0	0	0	0	0	0	0	5,18	0	0	1,02	0	14,26	0	0	0	4,75	0
35	15,01	14,751	15,145	13,728	15,852	14,87	15,166	14,808	0,824	98,498	0,612	99,316	1,617	99,256	0,933	99,22	0,508	98,516	0,683	98,414	1,09	98,997	0,789	97,939	NA	99,427	NA	99,93	NA	100	NA	100	NA	99,588	NA	99,588	NA	99,901	NA	96,901	80,626	79,582	80,39	80,517	79,584	80,132	80,382	80,117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99,529	99,382	99,345	96,629	99,845	99,879	99,799	98,833	99,314	99,532	99,653	99,595	99,699	99,871	99,603	99,42	99,281	99,71	97,634	1,094	94,178	98,417	100	0,93	94,031	99,156	93,752	97,25	100	100	98,079	99,816	99,703	99,82	35,324	1,251	78,892	98,459	100	5,365	90,904	99,887	94,121	95,21	100	99,871	97,489	98,388	93,821	94,939	24,206	NA	79,485	98,14	84,806	65,701	63,744	98,429	70,033	88,26	97,752	98,161	91,713	88,728	98,706	98,809	97,583	95,903	99,713	99,487	99,844	99,936	93,97	99,021	98,548	99,152	99,856	99,926	98,256	98,682	96,484	96,735	94,206	93,764	98,719	98,937	99,389	99,942	91,055	98,047	97,368	98,048	98,947	99,294	96,387	97,377	93,043	95,333	9,749	0,576	71,637	96,325	24,313	9,97	59,38	96,342	63,345	88,267	97,062	98,164	93,703	88,829	91,272	93,72	4,31	1,965	78,307	99,733	81,739	86,765	56,385	99,121	71,038	88,739	99,318	100	94,593	88,332	34,703	12,322	28,723	2,921	32,081	32,432	34,999	32,662	91,574	90,746	91,177	91,342	89,826	90,73	91,314	91,052	NA	NA	11,424	NA	9,376	NA	NA	9,376	98,735	97,857	97,067	98,075	98,577	98,761	98,556	97,944	97,696	97,784	98,136	97,895	98,18	99,108	97,978	98,338	95,314	93,926	91,994	94,203	96,487	97,279	97,172	97,03	92,762	93,507	95,144	94,501	95,687	97,468	94,684	95,677	20,453	19,597	19,86	20,064	21,403	20,286	20,181	19,899
36	1,032	1,056	1,021	1,01	1,078	1,002	1,024	1,001	1,163	1,012	1,244	1,008	1,075	1,018	1,198	1,013	1,008	1,005	1,026	1,003	1,229	1,007	1,022	1,003	NA	1,125	NA	1,097	NA	1,055	NA	1,081	NA	1,02	NA	1,002	NA	1,116	NA	1,002	1,467	1,109	1,117	1,146	1,06	1,103	1,12	1,109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1,019	1,004	1,004	1,03	1,027	1,075	1,018	1,068	1,005	1,023	1,022	1,028	1,013	1,02	1,019	1,018	1,07	1,001	1,027	1,393	1,019	1,138	1,012	1,504	1,005	1,02	1,005	1,009	1,069	1,072	1,001	1,002	1,208	1,002	1,026	1,402	1,032	1,211	1,027	1,752	1,005	1,042	1,002	1,019	1,125	1,131	1,001	1,001	1,16	1,003	1,003	NA	1,04	1,159	1,052	1,076	1,003	1,058	1,005	1,025	1,093	1,086	1,004	1,008	1,012	1,004	1,017	1,012	1,005	1,007	1,004	1,007	1,002	1,009	1,002	1,01	1,017	1,004	1	1	1,034	1,001	1,006	1,034	1,011	1,022	1,009	1,015	1,002	1,012	1,004	1,005	1,035	1,02	1,001	1,001	1,105	1,002	1,043	1,473	1,091	1,162	1,108	1,367	1,005	1,04	1,001	1,03	1,141	1,095	1,005	1,001	1,162	1,002	1,26	1,302	1,056	1,095	1,063	1,034	1,013	1,059	1,027	1,028	1,139	1,755	1,006	1,004	1,188	1,268	1,356	3,328	1,167	1,069	1,057	1,117	1,081	1,049	1,049	1,062	1,016	1,045	1,056	1,041	NA	NA	1,994	NA	1,628	NA	NA	1,536	1,07	1,001	1,019	1,018	1,024	1,019	1,016	1,024	1,002	1,008	1,011	1,004	1,01	1,006	1,015	0,995	1,071	1,003	1,004	1,021	1,016	1,031	1,028	1,041	1,003	1,014	1,009	1,008	1,009	1,018	1,004	1,009	1,133	1,083	1,098	1,08	1,154	1,06	1,081	1,1
37	607	+	66	part	598	+	73	part	633	+	64	part	565	+	66	part	623	+	77	part	603	+	67	part	617	+	62	part	606	+	61	part	95	+	11	part	5584	+	65	part	59	+	14	part	5698	+	59	part	119	+	77	part	5692	+	75	part	112	+	23	part	5727	+	39	part	22	+	6	part	5465	+	217	part	49	+	4	part	5605	+	51	part	88	+	24	part	5662	+	66	part	46	+	7	part	5349	+	300	part	NA	234	+	7	part	NA	236	+	6	part	NA	235	+	7	part	NA	240	+	2	part	NA	230	+	11	part	NA	231	+	11	part	NA	240	+	2	part	NA	205	+	29	part	3391	+	102	part	3301	+	156	part	3373	+	107	part	3377	+	105	part	3303	+	134	part	3360	+	111	part	3373	+	103	part	3363	+	106	part	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	+	12	part	99	+	6	part	86	+	17	part	0	+	1	part	63	+	41	part	44	+	61	part	104	+	1	part	0	+	1	part	86	+	18	part	89	+	16	part	70	+	34	part	89	+	15	part	104	+	1	part	103	+	2	part	91	+	14	part	97	+	8	part	55719	59779	16150	600	5253	6156	76502	2787	37659	27594	13117	37644	73118	77174	29930	39660	100	+	8	part	97	+	13	part	24	+	4	part	NA	56	+	38	part	81	+	31	part	86	+	6	part	74	+	3	part	62	+	23	part	100	+	12	part	67	+	21	part	88	+	19	part	105	+	6	part	110	+	1	part	95	+	13	part	96	+	10	part	2872	+	233	part	2938	+	175	part	2748	+	359	part	2928	+	109	part	2939	+	205	part	2888	+	255	part	3111	+	30	part	3115	+	29	part	2686	+	367	part	2688	+	453	part	2745	+	391	part	2967	+	170	part	3088	+	55	part	3106	+	38	part	2785	+	345	part	2955	+	174	part	778	+	94	part	811	+	64	part	737	+	126	part	810	+	34	part	806	+	88	part	815	+	82	part	882	+	14	part	894	+	7	part	724	+	123	part	757	+	138	part	764	+	125	part	830	+	64	part	866	+	29	part	874	+	21	part	760	+	125	part	817	+	68	part	76	+	13	part	75	+	15	part	4	+	6	part	1	+	0	part	17	+	63	part	68	+	21	part	15	+	5	part	5	+	4	part	36	+	38	part	74	+	16	part	28	+	50	part	59	+	26	part	85	+	5	part	83	+	7	part	74	+	16	part	72	+	15	part	26	+	3	part	26	+	4	part	1	+	2	part	0	+	1	part	12	+	18	part	27	+	5	part	23	+	3	part	27	+	2	part	11	+	15	part	26	+	6	part	9	+	20	part	25	+	6	part	28	+	4	part	31	+	1	part	26	+	4	part	26	+	2	part	10	+	2	part	5	+	1	part	2	+	8	part	1	+	0	part	8	+	3	part	9	+	2	part	10	+	2	part	9	+	2	part	2457	+	63	part	2450	+	55	part	2468	+	54	part	2473	+	55	part	2367	+	76	part	2440	+	53	part	2469	+	51	part	2455	+	58	part	NA	NA	0	+	1	part	NA	0	+	1	part	NA	NA	0	+	1	part	2602	+	26	part	2533	+	36	part	2528	+	97	part	2546	+	90	part	2605	+	42	part	2627	+	41	part	2638	+	24	part	2610	+	30	part	2467	+	110	part	2499	+	90	part	2586	+	30	part	2556	+	54	part	2587	+	23	part	2653	+	12	part	2522	+	81	part	2595	+	43	part	901	+	35	part	885	+	19	part	848	+	31	part	857	+	54	part	916	+	26	part	937	+	22	part	938	+	23	part	927	+	35	part	832	+	60	part	861	+	44	part	894	+	24	part	889	+	33	part	902	+	23	part	946	+	17	part	866	+	52	part	900	+	37	part	811	+	78	part	774	+	78	part	780	+	79	part	795	+	70	part	836	+	99	part	803	+	87	part	801	+	77	part	784	+	81	part
38	52419	52397	52419	52419	52419	52419	52419	52419	9186	430487	5194	258489	5197	311769	9186	766822	5197	106317	9186	606357	9186	346882	9186	91844	NA	69698	NA	74529	NA	74370	NA	84617	NA	48739	NA	46937	NA	103897	NA	24180	186153	182457	188970	185930	133449	185821	185423	185610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	610150	245660	238341	40668	313312	257874	309535	104372	101254	59847	474277	261142	627055	498363	191465	130350	19894	25367	15696	705	5728	5447	57658	938	17253	16390	13961	32606	94324	61232	19624	42054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21337	19195	11934	NA	5925	19572	40930	37848	9685	17080	12235	20901	34817	33626	19195	19177	66408	71578	41321	127843	110511	67456	358962	241348	75323	39550	45511	115051	291332	286217	59056	71713	36852	66861	35518	88873	45180	49959	200886	205410	37897	44874	35514	64633	201460	143857	39528	46867	28877	22066	4266	657	7641	18822	8261	5388	6834	13892	4851	12631	46425	26351	17843	19145	19014	25932	1188	583	4476	12698	28165	31896	3590	19745	3071	18759	28110	35964	25932	25676	4185	1247	2060	751	4185	4185	4185	4185	187397	172651	187515	187458	137514	187397	187456	187397	NA	NA	242	NA	155	NA	NA	146	246076	178118	256726	140691	171619	414642	555664	255146	108154	105420	425699	246179	214707	741022	157783	246346	213447	110288	171869	110049	211909	450326	357911	105536	79022	44101	224346	113831	128456	355966	137030	140621	46289	46286	46289	46289	48600	40364	46289	46289
39	237457	278382	246249	828647	68839	243851	379681	184389	48457	130570	68746	155352	48092	116480	119395	337861	24578	26552	58377	246346	101608	105260	40368	24921	257581	430487	387299	258489	524448	311769	397830	766822	108975	106317	268115	606530	459337	346945	267159	90692	146158	94207	134263	158716	41244	116105	157732	125214	610290	245660	238341	40668	338337	279306	375149	104386	101254	59847	474277	286460	627055	498363	191465	226629	119446	70424	81416	8726	147272	114083	246830	38240	28781	13391	148639	131561	150258	220161	61615	48155	66408	71578	40728	127844	110511	67456	358962	241348	75323	39550	40274	115051	291333	286217	59062	71713	66408	71578	40728	127844	110511	67456	358962	241348	75323	39550	40274	115051	291333	286217	59062	71713	66408	71578	40728	127844	110511	67456	358962	241348	75323	39550	40274	115051	291333	286217	59062	71713	19178	27255	15593	48536	26189	22191	200886	170720	16853	12269	15123	42560	116634	131101	18718	33352	31941	48079	25608	95358	47771	36319	326722	235641	33248	23585	26876	71815	201460	202404	33564	50143	66408	71578	40728	127844	110511	67456	358962	241348	75323	39550	40274	115051	291333	286217	59062	71713	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713	244957	285328	379101	449789	173010	364183	350174	336190	73887	111165	132448	221821	38102	146332	187080	122507	244957	285328	379101	449789	173010	364183	350174	336190	119666	79406	75899	45141	129237	167208	324982	105536	31046	33473	163193	113831	93941	311625	54768	108108	226093	111096	148549	78380	176605	420631	555664	177955	56989	63334	246183	205557	166979	741022	85006	187929	89864	105803	105619	117883	47829	74197	117467	83025
40	122207	156215	140806	245339	40005	165019	137987	104748	23757	70047	21234	83639	20475	58582	47789	177353	12541	17410	25203	78614	55255	64958	16783	14414	257581	430487	387299	258489	524448	311769	397830	766822	108597	93548	268115	606530	459337	346945	267159	90692	92833	41281	84346	74628	24099	56336	86371	59261	610290	245660	238341	40668	338337	279306	375149	104386	101254	59847	474277	286460	627055	498363	191465	226629	68977	39233	43785	4858	109542	53780	110872	21939	17379	8099	89212	68982	107346	122266	37549	26238	55823	66861	39333	127844	110511	64176	358962	241348	61836	36957	40274	115051	291333	286217	53938	70664	55823	66861	40728	127844	110511	64176	358962	241348	61836	39550	40274	115051	291333	286217	53938	70664	55823	66861	40728	127844	110511	64176	358962	241348	61836	39550	40274	115051	291333	286217	53938	70664	12376	20225	10836	30292	16873	15190	142663	128010	11565	8739	9902	32618	74016	115061	12713	23747	28694	39436	22317	88357	44061	31422	242553	204110	27716	18856	24134	65205	131485	174187	31078	46959	55823	66861	39333	127844	110511	64176	358962	241348	61836	36957	40274	115051	291333	286217	53938	70664	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713	244957	285328	379101	449789	173010	364183	350174	336190	39976	53749	50006	174868	26536	92436	105739	50954	244957	285328	379101	449789	173010	364183	350174	336190	91944	52137	44946	30319	83846	108689	236373	65695	19385	23364	112992	64014	72282	246623	33727	75901	203645	105316	119655	71059	150873	420631	363321	155187	47328	52416	224349	174268	145856	355979	71547	180000	45155	52143	58443	61875	21743	41138	63036	41763
41	NA	NA	NA	NA	NA	NA	NA	NA	NA	130570	NA	150479	NA	100038	NA	246697	NA	25425	NA	246346	NA	103691	NA	24577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38481	33716	43533	42218	27630	42686	43492	42686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	111763	67488	78165	8265	129075	69002	187809	35496	27712	12516	147199	113272	147871	209894	58337	40129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9239	13579	9631	28128	13691	10627	133887	113534	9041	5261	7420	24662	53406	89068	8932	18548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42776	45901	52166	70865	32628	79978	70865	64058	NA	NA	NA	NA	NA	NA	NA	NA	66449	42398	33021	25841	62673	80510	127189	54754	18003	19876	102918	58898	66784	152627	30832	53390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
