All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                        # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes          Largest alignment  NA50    NGA50   NA75    NGA75   LA50  LGA50  LA75  LGA75  
8_RS-M-Abyss-Scaffold           382        4503182       71578           4602977           68.77   68.79             22050   21441   11736   11021   67   70    137  144   2                24651                        2                      0 + 2 part           96                        97.762               1.003              0.00               3.38                      0.24                  4120 + 275 part  71578              22050   21441   11706   11021   67    70     138   144    
8_RS-M-Cabog-Scaffold broken    146        3952313       127844          4602977           69.06   68.79             41794   31540   22363   15957   30   39    64   89    6                119320                       2                      0 + 1 part           78                        85.599               1.009              0.10               7.11                      0.46                  3738 + 140 part  127843             41176   30364   22361   15957   31    41     66    91     
8_RS-M-Cabog-Scaffold           131        3953489       177098          4602977           69.06   68.79             45887   40287   25501   16846   26   33    55   79    6                135726                       6                      0 + 1 part           78                        85.611               1.024              20.77              7.23                      4.75                  3751 + 128 part  177098             42489   36097   24136   16846   27    35     58    81     
8_RS-M-Msrca-Scaffold broken    58         4246144       241348          4602977           68.90   68.79             142742  130714  102371  64787   12   13    21   24    5                41134                        4                      0 + 1 part           23                        91.960               1.004              0.00               9.66                      0.78                  4110 + 45 part   241348             142742  130714  102371  64787   12    13     21    24     
8_RS-M-Msrca-Scaffold           52         4247061       241348          4602977           68.90   68.79             165131  144812  104435  77487   11   12    19   22    5                40523                        7                      0 + 1 part           23                        91.940               1.010              4.83               9.62                      2.43                  4114 + 39 part   241348             165131  144812  104435  77487   11    12     19    22     
8_RS-M-Sga-Scaffold broken      733        4091078       44874           4602977           69.03   68.79             9086    7971    4930    3567    136  166   291  381   0                0                            1                      0 + 0 part           0                         88.235               1.007              0.00               0.25                      0.37                  3435 + 590 part  44874              9086    7971    4930    3567    136   166    291   381    
8_RS-M-Sga-Scaffold             733        4091078       44874           4602977           69.03   68.79             9086    7971    4930    3567    136  166   291  381   0                0                            1                      0 + 0 part           0                         88.235               1.007              0.00               0.25                      0.37                  3435 + 590 part  44874              9086    7971    4930    3567    136   166    291   381    
8_RS-M-Soap-Scaffold broken     235        4541768       115051          4602977           68.83   68.79             36889   36444   20042   19348   42   43    83   86    2                18416                        160                    0 + 0 part           0                         98.160               1.010              3.54               3.14                      0.77                  4133 + 309 part  115051             36443   36443   20041   18759   43    43     83    86     
8_RS-M-Soap-Scaffold            185        4549335       204500          4602977           68.83   68.79             45133   45133   27903   26996   32   32    63   65    2                18416                        215                    0 + 0 part           0                         98.191               1.011              139.23             3.14                      0.77                  4133 + 309 part  204215             45022   45022   27902   26839   32    32     63    65     
8_RS-M-Spades-Scaffold broken   74         4649455       425067          4602977           68.76   68.79             151794  151794  103998  104015  11   11    20   19    12               461715                       8                      0 + 0 part           0                         99.496               1.017              10.43              7.64                      3.47                  4406 + 49 part   425067             151794  151794  103998  104015  11    11     20    19     
8_RS-M-Spades-Scaffold          73         4649550       425067          4602977           68.76   68.79             151794  151794  104015  114243  11   11    20   19    12               461715                       8                      0 + 0 part           0                         99.496               1.017              11.08              7.55                      3.80                  4407 + 48 part   425067             151794  151794  104015  112545  11    11     20    19     
8_RS-M-Velvet-Scaffold broken   332        4485514       71713           4602977           68.77   68.79             24347   24248   14804   13982   58   60    115  121   3                92376                        8                      1 + 0 part           688                       97.422               1.000              0.00               10.50                     0.65                  4135 + 276 part  71713              24300   24205   14804   13982   59    61     116   122    
8_RS-M-Velvet-Scaffold          143        4526809       236829          4602977           68.77   68.79             88399   85272   39660   37869   17   18    36   37    16               564277                       188                    0 + 0 part           0                         97.568               1.008              739.09             10.75                     5.19                  4152 + 267 part  234789             84960   84960   37869   33962   18    18     37    39     
9_SA-H-Abyss-Scaffold broken    89         3033542       261535          2903081           32.93   32.73             64963   73887   38351   39976   12   11    28   25    65               2043663                      69                     7 + 16 part          172732                    91.026               1.084              0.00               858.46                    56.93                 2474 + 63 part   187397             42776   49061   22162   27300   19    18     42    38     
9_SA-H-Abyss-Scaffold           83         3035469       261535          2903081           32.93   32.73             73887   80142   38856   43231   12   11    27   24    67               2112468                      77                     7 + 17 part          170419                    91.040               1.086              26.52              858.63                    57.08                 2474 + 63 part   187397             49061   50757   24162   29333   18    17     40    36     
9_SA-H-Cabog-Scaffold broken    56         2796508       285328          2903081           32.73   32.73             111165  102839  56580   53749   7    8     16   17    78               2395546                      63                     5 + 14 part          62472                     89.895               1.049              0.00               852.24                    72.42                 2454 + 57 part   172651             45901   45835   26603   23299   17    18     35    38     
9_SA-H-Cabog-Scaffold           53         2796568       402739          2903081           32.73   32.73             153356  153356  62375   56580   6    6     13   15    81               2449074                      64                     5 + 14 part          62472                     89.895               1.049              2.15               852.36                    72.39                 2454 + 57 part   172651             45901   45835   26603   23299   17    18     35    38     
9_SA-H-Msrca-Scaffold broken    39         2892444       449789          2903081           32.85   32.73             221821  221821  123428  123428  5    5     9    9     75               2708175                      78                     3 + 8 part           110359                    90.420               1.062              0.00               889.85                    59.29                 2473 + 56 part   187458             70865   70865   37339   34865   13    13     27    28     
9_SA-H-Msrca-Scaffold           38         2892464       449789          2903081           32.85   32.73             221821  221821  123428  123428  5    5     9    9     76               2710331                      78                     3 + 8 part           110359                    90.420               1.062              0.69               889.77                    59.29                 2473 + 56 part   187458             70865   70865   37339   34865   13    13     27    28     
9_SA-H-Sga-Scaffold broken      117        2738034       173362          2903081           32.68   32.73             40622   39698   30315   27943   20   22    39   43    34               1123641                      45                     12 + 27 part         103182                    88.924               1.021              0.00               823.16                    40.06                 2377 + 71 part   137866             34831   32592   19164   16567   25    28     49    57     
9_SA-H-Sga-Scaffold             97         2741445       208354          2903081           32.68   32.73             51537   51135   34718   32186   15   17    31   35    35               1285671                      50                     11 + 20 part         96686                     89.031               1.024              27.36              823.91                    48.65                 2385 + 65 part   172760             40069   36704   20048   17410   20    23     43    49     
9_SA-H-Soap-Scaffold broken     50         2823357       364183          2903081           32.70   32.73             146332  146332  92436   92436   7    7     13   13    65               2465736                      80                     8 + 10 part          90487                     90.062               1.047              0.14               858.71                    54.13                 2447 + 56 part   187397             79978   79978   33715   31543   13    13     27    29     
9_SA-H-Soap-Scaffold            50         2823357       364183          2903081           32.70   32.73             146332  146332  92436   92436   7    7     13   13    65               2465736                      80                     8 + 10 part          90487                     90.062               1.047              0.14               858.71                    54.13                 2447 + 56 part   187397             79978   79978   33715   31543   13    13     27    29     
9_SA-H-Spades-Scaffold broken   44         2881488       350174          2903081           32.72   32.73             187080  187080  105739  105739  6    6     11   11    67               2666808                      83                     7 + 8 part           100116                    90.647               1.059              1.98               862.89                    52.35                 2477 + 54 part   187456             70865   70865   34865   34865   13    13     28    28     
9_SA-H-Spades-Scaffold          44         2881488       350174          2903081           32.72   32.73             187080  187080  105739  105739  6    6     11   11    67               2666808                      83                     7 + 8 part           100116                    90.647               1.059              1.98               862.89                    52.35                 2477 + 54 part   187456             70865   70865   34865   34865   13    13     28    28     
9_SA-H-Velvet-Scaffold broken   60         2824718       336190          2903081           32.73   32.73             122507  122507  52580   49888   7    7     15   17    66               2360697                      78                     11 + 9 part          95288                     90.395               1.041              0.00               867.44                    59.26                 2463 + 61 part   187397             64058   57767   33895   32712   14    15     30    32     
9_SA-H-Velvet-Scaffold          52         2825625       336190          2903081           32.73   32.73             165713  146342  92503   83204   6    7     12   13    68               2567653                      80                     9 + 8 part           90842                     90.413               1.043              13.13              867.23                    62.15                 2468 + 60 part   187397             80074   70807   34865   32712   13    14     28    30     
10_VC-H-Abyss-Scaffold broken   187        4086764       252583          4033464           47.57   47.49             61204   61204   32019   32118   20   20    42   41    10               515805                       6                      1 + 0 part           602                       97.871               1.051              3.99               7.24                      5.70                  3484 + 79 part   220353             61162   61162   29070   29699   21    21     45    43     
10_VC-H-Abyss-Scaffold          102        4109111       523887          4033464           47.57   47.49             217596  217596  80568   82716   6    6     15   14    16               924513                       68                     1 + 0 part           602                       98.010               1.055              424.33             7.34                      6.68                  3515 + 54 part   522201             156774  156774  67355   71310   7     7      18    17     
10_VC-H-Cabog-Scaffold broken   127        3855600       256726          4033464           47.53   47.49             61249   57883   29636   26097   19   21    43   48    20               385832                       11                     0 + 0 part           0                         95.623               1.007              0.00               17.01                     7.34                  3374 + 123 part  256726             57813   53007   28288   25832   21    22     46    51     
10_VC-H-Cabog-Scaffold          108        3855980       256726          4033464           47.53   47.49             67078   67009   34758   28288   16   17    36   40    21               531956                       23                     0 + 0 part           0                         95.629               1.012              9.85               17.32                     9.00                  3380 + 117 part  256726             63201   62046   33039   28288   18    19     39    43     
10_VC-H-Msrca-Scaffold broken   91         3989162       555664          4033464           47.50   47.49             241604  241604  85155   79323   6    6     13   14    8                708761                       5                      0 + 2 part           399                       98.147               1.013              0.00               68.63                     6.85                  3573 + 46 part   555664             236373  236373  76901   76901   6     6      15    15     
10_VC-H-Msrca-Scaffold          88         3989222       555664          4033464           47.50   47.49             246505  246505  85155   79323   6    6     13   14    9                716209                       7                      0 + 2 part           399                       98.147               1.013              1.50               68.63                     6.85                  3573 + 46 part   555664             236373  236373  76901   76901   6     6      15    15     
10_VC-H-Sga-Scaffold broken     331        3861930       108154          4033464           47.55   47.49             24152   23429   12815   10978   48   52    102  113   3                17831                        0                      1 + 0 part           551                       95.589               1.002              0.00               2.98                      2.62                  3272 + 159 part  108154             24152   23429   12813   10978   48    52     102   113    
10_VC-H-Sga-Scaffold            331        3861930       108154          4033464           47.55   47.49             24152   23429   12815   10978   48   52    102  113   3                17831                        0                      1 + 0 part           551                       95.589               1.002              0.00               2.98                      2.62                  3272 + 159 part  108154             24152   23429   12813   10978   48    52     102   113    
10_VC-H-Soap-Scaffold broken    100        3932751       425556          4033464           47.52   47.49             135118  125939  65780   62739   10   11    21   22    15               1155029                      50                     1 + 1 part           603                       97.295               1.009              0.00               14.02                     5.58                  3479 + 50 part   425699             112904  112904  62739   62256   11    11     22    23     
10_VC-H-Soap-Scaffold           75         3935433       574497          4033464           47.52   47.49             200529  181109  102918  102918  6    7     13   13    15               1605854                      76                     1 + 1 part           603                       97.305               1.009              56.11              14.01                     5.58                  3480 + 50 part   574463             181115  181115  92025   92025   7     7      14    14     
10_VC-H-Spades-Scaffold broken  106        4012066       246251          4033464           47.42   47.49             98274   98274   52916   52916   13   13    26   26    21               390381                       17                     1 + 1 part           1261                      98.209               1.021              0.00               8.13                      7.83                  3544 + 46 part   246251             95858   94762   52911   52911   13    14     27    27     
10_VC-H-Spades-Scaffold         106        4012066       246251          4033464           47.42   47.49             98274   98274   52916   52916   13   13    26   26    21               390381                       17                     1 + 1 part           1261                      98.209               1.021              0.00               9.26                      8.00                  3544 + 46 part   246251             95858   94762   52911   52911   13    14     27    27     
10_VC-H-Velvet-Scaffold broken  213        3914915       157783          4033464           47.50   47.49             40877   40085   22754   20673   30   31    62   66    4                55189                        8                      1 + 1 part           576                       97.038               1.011              0.00               4.47                      4.85                  3386 + 132 part  157783             40877   39468   22753   20673   30    31     62    66     
10_VC-H-Velvet-Scaffold         85         3940257       524347          4033464           47.50   47.49             172545  172545  92099   82167   7    7     14   15    10               395034                       129                    1 + 0 part           549                       97.140               1.016              547.10             5.18                      9.44                  3400 + 128 part  521619             171505  171505  91938   80883   7     7      14    15     
11_VC-M-Abyss-Scaffold broken   196        3904784       178118          4033464           47.56   47.49             60973   60473   27970   24934   21   22    44   48    2                70441                        0                      1 + 0 part           619                       96.699               1.001              0.00               3.31                      2.64                  3413 + 55 part   178118             60473   60272   27970   24934   21    22     44    48     
11_VC-M-Abyss-Scaffold          196        3904784       178118          4033464           47.56   47.49             60973   60473   27970   24934   21   22    44   48    2                70441                        0                      1 + 0 part           619                       96.699               1.001              0.00               3.31                      2.64                  3413 + 55 part   178118             60473   60272   27970   24934   21    22     44    48     
11_VC-M-Cabog-Scaffold broken   241        3953298       140691          4033464           47.52   47.49             33710   32790   17245   16374   34   35    74   77    17               128064                       7                      1 + 2 part           5249                      96.968               1.016              0.00               8.21                      3.63                  3401 + 144 part  140691             33710   32784   17241   16374   34    35     74    77     
11_VC-M-Cabog-Scaffold          241        3953298       140691          4033464           47.52   47.49             33710   32790   17245   16374   34   35    74   77    17               128064                       7                      1 + 2 part           5249                      96.968               1.016              0.00               8.21                      3.63                  3401 + 144 part  140691             33710   32784   17241   16374   34    35     74    77     
11_VC-M-Msrca-Scaffold broken   163        4030761       255146          4033464           47.47   47.49             76131   76131   45736   45736   16   16    33   33    19               216881                       3                      0 + 3 part           811                       97.670               1.023              0.00               6.27                      3.17                  3534 + 66 part   255146             76131   76131   45141   45141   16    16     34    34     
11_VC-M-Msrca-Scaffold          163        4030761       255146          4033464           47.47   47.49             76131   76131   45736   45736   16   16    33   33    19               216881                       3                      0 + 3 part           811                       97.670               1.023              0.00               6.27                      3.17                  3534 + 66 part   255146             76131   76131   45141   45141   16    16     34    34     
11_VC-M-Sga-Scaffold broken     309        3888550       105420          4033464           47.54   47.49             27931   27303   15534   14781   44   47    92   99    2                18041                        0                      0 + 1 part           461                       95.708               1.007              0.00               2.82                      2.75                  3314 + 129 part  105420             27931   27303   15534   14781   44    47     92    99     
11_VC-M-Sga-Scaffold            309        3888999       105420          4033464           47.54   47.49             27931   27303   15534   14781   44   47    92   99    2                18041                        1                      0 + 1 part           461                       95.708               1.007              1.31               2.82                      2.75                  3316 + 129 part  105420             27931   27303   15534   14781   44    47     92    99     
11_VC-M-Soap-Scaffold broken    186        3924635       246179          4033464           47.56   47.49             71357   71357   37218   34893   15   15    34   36    12               408395                       44                     2 + 3 part           6480                      96.940               1.003              0.00               8.16                      4.37                  3442 + 85 part   246179             71357   68152   37218   32753   15    16     34    37     
11_VC-M-Soap-Scaffold           165        3933425       246179          4033464           47.55   47.49             91942   91942   39820   38903   14   14    32   33    14               543041                       77                     2 + 2 part           6469                      97.050               1.005              92.34              8.48                      5.52                  3443 + 86 part   246179             91942   89759   39451   38469   14    15     32    34     
11_VC-M-Spades-Scaffold broken  145        4041279       741022          4033464           47.37   47.49             262160  262160  136216  136216  5    5     11   11    5                386647                       4                      57 + 3 part          46754                     98.648               1.004              5.30               4.88                      3.24                  3599 + 27 part   741022             262160  262160  106531  106531  5     5      12    12     
11_VC-M-Spades-Scaffold         145        4041279       741022          4033464           47.37   47.49             262160  262160  136216  136216  5    5     11   11    5                386647                       4                      57 + 3 part          46754                     98.648               1.004              5.30               4.90                      3.24                  3599 + 27 part   741022             262160  262160  106531  106531  5     5      12    12     
11_VC-M-Velvet-Scaffold broken  156        3944260       246346          4033464           47.52   47.49             92036   92036   43442   39974   15   15    31   33    14               749414                       2                      1 + 5 part           6703                      97.563               1.007              0.00               4.09                      2.80                  3491 + 79 part   246346             67096   63574   40333   39408   16    17     35    37     
11_VC-M-Velvet-Scaffold         138        3945576       246346          4033464           47.51   47.49             109996  109996  47047   46531   11   11    25   26    22               1210318                      13                     1 + 3 part           6324                      97.598               1.007              5.58               3.96                      4.88                  3492 + 78 part   246346             75901   67096   43122   40333   13    14     32    33     
12_XA-H-Abyss-Scaffold broken   153        4913108       245883          4967469           65.09   64.92             89864   89864   45155   44031   20   20    40   41    2                60758                        14                     87 + 57 part         3761635                   20.453               1.133              0.28               4032.85                   203.03                811 + 78 part    46289              -       -       -       -       -     -      -     -      
12_XA-H-Abyss-Scaffold          136        4919065       245883          4967469           65.09   64.92             94163   94163   55842   55842   19   19    36   36    0                0                            9                      78 + 50 part         3821390                   20.333               1.087              34.50              4068.10                   192.29                809 + 77 part    46289              -       -       -       -       -     -      -     -      
12_XA-H-Cabog-Scaffold broken   89         4836665       312406          4967469           65.19   64.92             107676  105803  55276   52143   16   17    32   34    1                18508                        6                      38 + 46 part         3782691                   19.597               1.083              0.00               4068.20                   171.49                774 + 78 part    46286              -       -       -       -       -     -      -     -      
12_XA-H-Cabog-Scaffold          89         4889348       312406          4967469           65.18   64.92             105803  105803  58882   55276   17   17    32   33    1                18508                        6                      37 + 47 part         3834578                   19.609               1.083              841.13             4038.48                   177.09                774 + 79 part    46286              -       -       -       -       -     -      -     -      
12_XA-H-Msrca-Scaffold broken   138        4928115       322669          4967469           65.08   64.92             117883  117883  61875   61875   15   15    30   30    0                0                            7                      91 + 42 part         3851470                   20.064               1.080              0.00               4176.56                   194.41                795 + 70 part    46289              -       -       -       -       -     -      -     -      
12_XA-H-Msrca-Scaffold          136        4928155       322669          4967469           65.08   64.92             117883  117883  61875   61875   15   15    30   30    0                0                            7                      90 + 41 part         3851510                   20.064               1.080              0.81               4172.96                   194.95                795 + 70 part    46289              -       -       -       -       -     -      -     -      
12_XA-H-Sga-Scaffold broken     204        4773017       132038          4967469           65.24   64.92             49072   47829   24538   21743   35   37    69   76    6                256146                       22                     98 + 82 part         3551094                   21.305               1.155              0.00               4117.37                   149.57                834 + 95 part    48600              -       -       -       -       -     -      -     -      
12_XA-H-Sga-Scaffold            204        4773017       132038          4967469           65.24   64.92             49072   47829   24538   21743   35   37    69   76    6                256146                       22                     98 + 82 part         3551094                   21.305               1.155              0.00               4117.37                   149.57                834 + 95 part    48600              -       -       -       -       -     -      -     -      
12_XA-H-Soap-Scaffold broken    141        4902322       196882          4967469           65.12   64.92             87840   87840   43199   42700   20   20    40   42    1                21883                        9                      73 + 56 part         3812108                   20.283               1.082              0.67               4011.93                   142.03                803 + 87 part    46289              -       -       -       -       -     -      -     -      
12_XA-H-Soap-Scaffold           138        4905519       199467          4967469           65.12   64.92             91216   91216   43762   43199   19   19    38   39    1                21883                        9                      73 + 53 part         3815305                   20.283               1.082              18.35              3958.89                   137.91                803 + 87 part    46289              -       -       -       -       -     -      -     -      
12_XA-H-Spades-Scaffold broken  153        4971534       312376          4967469           65.04   64.92             117467  117467  63036   63036   16   16    30   30    0                0                            8                      106 + 41 part        3888011                   20.181               1.081              4.77               4049.19                   141.00                801 + 77 part    46289              -       -       -       -       -     -      -     -      
12_XA-H-Spades-Scaffold         153        4971534       312376          4967469           65.04   64.92             117467  117467  63036   63036   16   16    30   30    0                0                            8                      106 + 41 part        3888011                   20.181               1.081              4.77               4049.19                   141.00                801 + 77 part    46289              -       -       -       -       -     -      -     -      
12_XA-H-Velvet-Scaffold broken  156        4889453       307295          4967469           65.12   64.92             83025   83025   42656   41763   20   20    40   42    0                0                            12                     90 + 55 part         3801991                   19.899               1.100              0.00               3994.56                   181.03                784 + 81 part    46289              -       -       -       -       -     -      -     -      
12_XA-H-Velvet-Scaffold         139        4893641       378254          4967469           65.12   64.92             105255  105255  50296   47847   16   16    33   34    0                0                            14                     84 + 46 part         3804714                   19.906               1.101              81.37              3975.93                   161.42                783 + 83 part    46289              -       -       -       -       -     -      -     -      
